index,date,Logon attempts,attachments,after_hour_logon,After_hour_emails,after_hour_connect,after_hour_disconnect,Negative,Neutral,Positive,files_copied,files_cop_after_hr,external,user,Malicious_count,Non_malicious_count,label,recon_error
155,04-21-2011,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,SDB0106,0.0,0.0,0,0.004948434002322021
363,2010-01-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCE0097,0.0,100.0,0,0.0017330499964347717
205,06-09-2010,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,NCE0097,0.0,0.0,0,0.005098958241806619
466,2010-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESH0135,0.0,0.0,0,0.0006563366845871546
380,2010-02-05,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMB0531,0.0,29.0,0,0.0016551391164298312
207,06-11-2010,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,HWH0646,0.0,0.0,0,0.0007667906740671672
223,07-06-2010,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,LHN0151,0.0,0.0,0,0.0034746557746170065
245,07-15-2010,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,MPT0376,0.0,0.0,0,0.0062810042980294715
680,2011-02-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UCH0519,0.0,29.0,0,0.0012063578783276048
614,2010-09-27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAG0558,0.0,95.0,0,0.0017031235156933
686,2010-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IBS0836,0.0,0.0,0,0.0006563366845871546
717,2011-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAH0440,0.0,0.0,0,0.0006563366845871546
131,04-05-2011,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,MKS0204,0.0,0.0,0,0.005644742664352319
493,2010-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BWH0813,0.0,0.0,0,0.0006563366845871546
293,10-11-2010,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,BAL0044,0.0,0.0,0,0.007151834088468929
828,2011-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JJH0292,0.0,0.0,0,0.0006563366845871546
99,03-12-2010,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,ACC0042,0.0,0.0,0,0.003867383825241529
561,2010-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRO0768,0.0,0.0,0,0.0006563366845871546
667,2010-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SBH0537,0.0,0.0,0,0.0006563366845871546
372,2010-01-28,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECL0930,0.0,95.0,0,0.003104536608178256
89,03-05-2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,KPP0452,0.0,0.0,0,0.00063811081392296
441,2010-04-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASD0577,0.0,10.0,0,0.0013962155414905951
643,2010-10-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LDB0090,0.0,114.0,0,0.0018800847327214072
522,2010-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MJS0890,0.0,0.0,0,0.0006563366845871546
91,03-08-2010,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,CAB0614,0.0,0.0,0,0.006552698064478021
351,2010-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JRL0574,0.0,10.0,0,0.0013962155414905951
44,02-02-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CCH0182,0.0,0.0,0,0.0007174910600358807
368,2011-01-05,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAE0190,17.0,126.0,0,0.00889121802059104
431,12-14-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JAJ0849,0.0,0.0,0,0.0007174910600358807
584,2010-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLO0131,0.0,0.0,0,0.0006563366845871546
4,01-05-2011,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,NJB0243,0.0,0.0,0,0.0032638097346957763
305,10-29-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AAN0823,0.0,0.0,0,0.0007174910600358807
296,10-18-2010,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,OMS0101,0.0,0.0,0,0.004948434002322021
103,03-16-2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,RHC0335,0.0,0.0,0,0.004452470661423249
463,2010-04-29,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DHM0937,0.0,95.0,0,0.0037630576924732504
83,04-30-2010,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,CIM0926,0.0,0.0,0,0.004374930451289377
750,2011-02-10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WSR0241,7.0,88.0,0,0.0006787146353949477
413,11-27-2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,JKJ0698,0.0,0.0,0,0.0006381079500446433
141,04-12-2011,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,GAF0060,0.0,0.0,0,0.004948434002322021
12,01-11-2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ELH0960,0.0,0.0,0,0.00063811081392296
131,04-05-2011,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,IIA0092,0.0,0.0,0,0.0062810042980294715
350,2010-01-06,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HJA0018,0.0,114.0,0,0.0041304545118979194
183,05-12-2010,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,GRC0145,0.0,0.0,0,0.00958430937506992
301,10-25-2010,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,MCS0035,0.0,0.0,0,0.009206691024386789
522,2010-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JPW0741,0.0,0.0,0,0.0006563366845871546
482,2010-05-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLS0296,0.0,10.0,0,0.0013962155414905951
752,2011-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DID0650,0.0,0.0,0,0.0006563366845871546
302,10-26-2010,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,MAW0166,0.0,0.0,0,0.005013805205990459
387,2010-02-11,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WXH0872,0.0,162.0,0,0.004671948269155423
374,2010-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIH0969,0.0,0.0,0,0.0006563366845871546
147,04-15-2011,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,MES0407,0.0,0.0,0,0.0062810042980294715
236,07-19-2010,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,CRK0916,0.0,0.0,0,0.007573342574946522
457,2010-04-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMW0105,0.0,114.0,0,0.0018800847327214072
355,2010-01-11,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAH0248,0.0,95.0,0,0.00249930225417243
153,04-20-2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,UAD0771,0.0,0.0,0,0.000974883978962369
104,03-10-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,JDF0593,0.0,0.0,0,0.005827770055495539
412,2010-03-09,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NKH0807,0.0,95.0,0,0.0020552149211014214
311,11-08-2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,IBB0696,0.0,0.0,0,0.00063811081392296
174,2010-03-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYA0506,0.0,29.0,0,0.0012063608641739755
429,2010-03-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABH0663,0.0,29.0,0,0.0012063608641739755
49,02-04-2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,KMB0922,0.0,0.0,0,0.0020491355216333148
18,01-11-2011,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,LBF0214,0.0,0.0,0,0.005013805205990459
